num_pc,lasso_dev,lasso_auc,ridge_dev,ridge_auc,ord_logreg
2,0.58507346905370206,0.5835969944815621,0.5684029322336807,0.5840420551699465,0.5691516200121536
3,0.5984470628091964,0.5979485661365057,0.5807339911792304,0.5977715048442184,0.5845175804010853
10,0.6682015918011338,0.6674537163256317,0.6730362303514122,0.674971847007401,0.6503105654615647
20,0.694185100022163,0.6929709539857729,0.699430652205875,0.7013748175683346,0.6761449350246426
