"","x"
"1",0.0766816532104029
"2",0.0795633442145596
"3",0.056522720188975
"4",0.0333700211181197
"5",0.0169224977114044
"6",0.0179057811451554
"7",0.0929121992043974
"8",0.173900141128632
"9",0.0570098878177155
"10",0.0496370588156199
"11",0.052936799905286
"12",0.13333888210018
"13",0.115343730568215
"14",0.0992167328407024
"15",0.0916203443763793
"16",0.0639584313861343
"17",0.124111615682737
"18",0.149876536711813
"19",0.00809141140993874
"20",0.112513507571175
"21",0.164051733772036
"22",0.02940443643402
"23",0.0692522592597403
"24",0.0665418743572951
"25",0.0425803592373327
"26",0.0399487242811029
"27",0.0382296025973508
"28",0.115356711811484
"29",0.0701359477212965
"30",0.103661754744886
"31",0.0124623297709238
"32",-0.0189137133727509
"33",0.136754995710402
"34",0.14614403186642
"35",-0.0882483614041881
"36",0.0781149225743659
"37",0.105051269574913
"38",0.202585457480509
"39",0.0604631907176535
"40",0.0849909120589783
"41",0.0412584627840222
"42",0.128062077999369
"43",0.133643629709555
"44",0.0619608100819193
"45",0.0506817662303061
"46",0.0822034482974511
"47",0.0522045688953891
"48",0.0583164461123343
"49",0.0770705608972154
"50",0.146352705343633
"51",0.0939521814891616
"52",0.0766394400772004
"53",0.0279688616310557
"54",0.141951584610796
"55",0.101466055091265
"56",0.150994770832798
"57",0.0331881493084948
"58",-0.0104776308993669
"59",0.102965212975311
"60",0.107929312961228
"61",0.0468616551683138
"62",0.141851650728786
"63",0.0410742973835877
"64",0.104145684954493
"65",0.0576865242534983
"66",0.0779092949105632
"67",0.0857979088304236
"68",0.0544186169235672
"69",0.0797527276009557
"70",0.132902509997132
"71",0.0915344281281625
"72",0.112610559355643
"73",0.131844950769466
"74",0.009079655256382
"75",0.128953153348304
"76",-0.0546065751667555
"77",0.0972636640838333
"78",0.137458528108355
"79",0.112304966830048
"80",0.184619408419123
"81",0.111523538818477
"82",0.129373320037713
"83",0.183369226750376
"84",0.0688858751646891
"85",0.110273127533941
"86",0.0846258086651234
"87",0.0752668476061922
"88",0.0591991525360977
"89",0.0923143984636211
"90",-0.0434957423011593
"91",0.0967316641457002
"92",0.131928203638333
"93",0.0662013790445991
"94",0.173942113070371
"95",0.104349481664999
"96",0.0280700505152307
"97",0.0783796084868682
"98",0.0145512244022365
"99",0.0689287951470247
"100",0.104779294154515
"101",0.0444861680715645
"102",0.0238627648161139
"103",0.100425798685287
"104",0.0295356302511228
"105",0.0970093084266298
"106",0.0908579554065437
"107",0.139869704073237
"108",0.0873151140040745
"109",0.0403435651655033
"110",0.0514890138725891
"111",0.0812997470271366
"112",0.0532713405759377
"113",0.0455900417825854
"114",0.0170508838312084
"115",0.112527024962781
"116",0.136075735845611
"117",0.147810229446681
"118",0.10258140059733
"119",0.0710246199995295
"120",0.0473681693251354
"121",0.135113393263394
"122",0.002507940932719
"123",0.0366938014225212
"124",-0.0148010141640374
"125",0.135528190535202
"126",0.141916481239947
"127",0.101787598124026
"128",0.0662349840800148
"129",0.0513551751042456
"130",0.0923056641306104
"131",0.0797010119414989
"132",0.106472606577747
"133",0.0750987820748814
"134",0.0730480643284491
"135",0.0239375260266835
"136",0.00704641042692401
"137",0.0589919451537792
"138",-0.0849766820079347
"139",0.047104195406215
"140",0.0706993789061396
"141",0.149374951537189
"142",0.0849777693694186
"143",0.0782720461195896
"144",0.0396423167726015
"145",0.188238455771958
"146",-0.010399033064159
"147",0.0812368163134023
"148",0.0509743541060699
"149",0.0840051609574332
"150",0.0730666459592239
"151",0.121372901036862
"152",0.0176415109941941
"153",0.0599065172195253
"154",0.136811047358105
"155",0.100323560557212
"156",0.111320289249265
"157",0.0209087370440533
"158",0.0932309255147258
"159",0.0535471673836056
"160",0.0452103951224685
"161",0.0659826075562434
"162",0.0133550377138108
"163",0.0827985774354511
"164",0.100321911490182
"165",0.024976063547761
"166",0.123690104178185
"167",0.065991499836266
"168",0.0945299209992006
"169",0.075889742165961
"170",0.0482782013003489
"171",0.105586795488688
"172",0.103656238005981
"173",0.0485583705212627
"174",0.103438076175717
"175",0.099641746781802
"176",0.106824675533932
"177",0.0397714734531064
"178",0.159139010717717
"179",0.117836582736736
"180",0.0217361874246381
"181",0.0213177632733297
"182",0.0846692658098212
"183",0.0701620724054087
"184",0.106073980160312
"185",0.108793606949193
"186",0.0729698644219064
"187",0.118256664081294
"188",0.0521396017179538
"189",0.14994505908982
"190",0.0396442840190773
"191",0.0570648047858908
"192",0.144119337105212
"193",0.044080990712098
"194",0.0929971663953415
"195",0.0579646997388927
"196",0.134310916390001
"197",0.145764162444205
"198",0.102676026359204
"199",0.137812788340525
"200",0.0538663088893278
"201",0.116757483424538
"202",0.0972794495714283
"203",0.0677999578099456
"204",0.127180331444435
"205",0.0512743166375316
"206",0.115822484097599
"207",0.0142842210406787
"208",0.09651665688699
"209",0.0497066427923026
"210",0.0179016528884861
"211",0.0422049601375014
"212",0.105680584590161
"213",0.0690523691021287
"214",0.0366159832968366
"215",0.089515364672237
"216",0.129723556456337
"217",0.095006408490144
"218",0.0309104765086568
"219",0.102504792025768
"220",0.0432670258554554
"221",0.104655203217235
"222",0.0441341688726521
"223",0.128280722315313
"224",0.0415702621885004
"225",0.0695016508662296
"226",0.138571609271119
